Reference OD,STATIC RLI,DYNAMIC RLI,STATIC JEG,DYNAMIC JEG
3.02,0.263215,0.2559,0.32258375,0.302985
2.9,0.243145,0.2335,0.29963375,0.279785
2.52,0.224115,0.2166,0.27050375,0.252285
2.25,0.186035,0.1852,0.23025375,0.218885
1.95,0.152165,0.1507,0.18823375,0.182185
1.58,0.116765,0.1157,0.14816375,0.144085
1.34,0.092585,0.0937,0.11871375,0.117585
0.96,0.061815,0.0638,0.06896375,0.070285
0.61,0.036615,0.037,0.04568375,0.046585
0.31,0.015665,0.0168,0.01908375,0.019485
0.305,0.017965,0.0191,0.01993375,0.020085
0.27,0.015595,0.0171,0.01880375,0.020285
0.245,0.014385,0.0156,0.01666375,0.016085
0.21,0.010215,0.0113,0.01373375,0.015385
0.175,0.009565,0.0109,0.01451375,0.015885
0.145,0.008635,0.0089,0.00941375,0.010285
0.12,0.006715,0.0077,0.00685375,0.006885
0.08,0.005195,0.0059,0.01185375,0.005885
0.04,0.00244,0.0033,0.01016375,0.002385
0.01,0.001,0.0007,0.00130875,0.002085
