Reference OD,STATIC RLI,DYNAMIC RLI,STATIC JEG,DYNAMIC JEG
3.96,0.438665,0.3711,0.43680375,0.376685
3.68,0.371715,0.3082,0.41481375,0.335085
3.27,0.342365,0.2784,0.38498375,0.303985
2.91,0.310385,0.2559,0.34798375,0.276385
2.49,0.269745,0.226,0.29208375,0.234085
2.13,0.213745,0.1832,0.24193375,0.199985
1.76,0.155915,0.1345,0.18638375,0.150785
1.38,0.115765,0.0978,0.14385375,0.115385
0.9,0.070435,0.0595,0.08526375,0.071685
0.455,0.032245,0.0282,0.03386375,0.030085
0.415,0.029115,0.0264,0.03223375,0.028985
0.41,0.027295,0.0248,0.03300375,0.033485
0.36,0.025715,0.023,0.02653375,0.022985
0.33,0.021145,0.0183,0.02183375,0.019985
0.27,0.019265,0.016,0.01946375,0.017485
0.22,0.014045,0.0126,0.01861375,0.017685
0.17,0.028515,0.0293,0.01331375,0.014885
0.115,0.007515,0.0064,0.00820375,0.007285
0.085,0.00429,0.0039,0.00668375,0.005485
0.035,0.001915,0.0018,0.00440875,0.003185
