Ref,Our_static,Our_dynamic,Gerton_Static
10.794,1.32465,1.14515,1.2594
10.299,1.22915,1.0955,1.18465
9.549,1.2171,1.0605,1.04225
8.604,1.12525,0.9736,0.965925
7.829,1.0425,0.8943,0.938295
5.939,0.772455,0.68015,0.715125
5.434,0.722075,0.64035,0.656315
5.709,0.732235,0.6608,0.68605
4.534,0.593365,0.5274,0.560525
3.129,0.420825,0.3739,0.41179
1.479,0.24658,0.2247,0.264965
11.634,1.37775,1.1846,1.3051
12.184,1.40495,1.20315,1.34875
12.549,1.43215,1.2154,1.36515
12.949,1.4243,1.24985,1.3595
13.409,1.4455,1.2668,1.35725
13.844,1.45665,1.3009,1.40305
13.439,1.45395,1.29225,1.39015
13.974,1.45315,1.3011,1.41365
13.959,1.47745,1.3234,1.43085
14.369,1.49295,1.34615,1.46145
14.564,1.50805,1.3611,1.4672
2.304,0.305575,0.2727,0.333865
2.089,0.284,0.2529,0.30788
1.884,0.262325,0.23495,0.287335
1.864,0.24966,0.2283,0.289175
1.604,0.23104,0.2125,0.28615
1.384,0.201075,0.18885,0.246135
1.249,0.1849,0.17485,0.22385
1.024,0.16525,0.15685,0.200465
0.954,0.157075,0.14725,0.203365
1.109,0.1602,0.15415,0.20555
1.049,0.1417,0.1344,0.197275
2.594,0.33988,0.3069,0.37759
2.629,0.34455,0.3116,0.385325
2.839,0.36029,0.3373,0.4084
2.984,0.38814,0.35765,0.424675
3.319,0.403115,0.3755,0.44738
3.339,0.43336,0.3916,0.462425
3.314,0.44413,0.38345,0.46072
3.454,0.437445,0.3932,0.462235
3.519,0.465715,0.409,0.47519
3.609,0.46278,0.4152,0.475825
3.784,0.48411,0.42855,0.483825
0.163,0.11354,0.1096,0.1458
0.164,0.0987625,0.0962,0.1113
0.163,0.11545,0.1113,0.11465
0.146,0.0980025,0.09595,0.09959
0.129,0.0963875,0.0956,0.0973875
0.135,0.0971625,0.09575,0.0992025
0.244,0.10459,0.1029,0.108265
0.251,0.104725,0.10435,0.10949
0.26,0.106425,0.1056,0.112065
0.269,0.106365,0.1056,0.113225
0.275,0.106975,0.10555,0.11724
0.283,0.1066,0.1034,0.117285
0.287,0.107785,0.1038,0.119965
0.31,0.11224,0.1073,0.12045
0.313,0.109115,0.10605,0.119215
0.309,0.110265,0.10725,0.121015
0.319,0.111875,0.10865,0.123315
0.161,0.098635,0.164,0.102015
0.162,0.1011475,0.1006,0.101315
0.159,0.09929,0.0967,0.1000525
0.155,0.098325,0.0976,0.10136
0.149,0.0991775,0.10315,0.1006775
0.148,0.0977625,0.09535,0.0979875
0.143,0.1004875,0.0982,0.101775
0.14,0.099365,0.0998,0.1015375
0.135,0.097275,0.0969,0.10071
0.133,0.110315,0.1044,0.0986275
0.13,0.0970275,0.0948,0.097575
0.167,0.0990525,0.09665,0.104975
0.173,0.0993025,0.0976,0.10285
0.18,0.0998525,0.0991,0.105415
0.182,0.101265,0.0987,0.103235
0.183,0.102305,0.0991,0.10569
0.194,0.10341,0.1007,0.10461
0.191,0.103975,0.1034,0.10309
0.197,0.10974,0.1054,0.114615
0.194,0.10219,0.09955,0.10775
0.203,0.1016,0.10015,0.106555
0.207,0.101725,0.0983,0.106
